Infinitive,куса́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,куса́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,куса́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,куса́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,куса́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,куса́юсь
2nd Sing,куса́ешься
3rd Sing,куса́ется
1st Pl,куса́емся
2nd Pl,куса́етесь
3rd Pl,куса́ются
Past M,куса́лся
Past F,куса́лась
Past N,куса́лось
Past PL,куса́лись
Imp S,куса́йся
Imp PL,куса́йтесь
