Infinitive,лиши́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,лиши́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,лиши́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,лишу́сь
2nd Sing,лиши́шься
3rd Sing,лиши́тся
1st Pl,лиши́мся
2nd Pl,лиши́тесь
3rd Pl,лиша́тся
Past M,лиши́лся
Past F,лиши́лась
Past N,лиши́лось
Past PL,лиши́лись
Imp S,лиши́сь
Imp PL,лиши́тесь
