Infinitive,мельтеши́ть
Zaliznyak Class,4b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,мельтеша́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,мельтеши́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,мельтеша́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,мельтеши́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,мельтеши́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,мельтешу́
2nd Sing,мельтеши́шь
3rd Sing,мельтеши́т
1st Pl,мельтеши́м
2nd Pl,мельтеши́те
3rd Pl,мельтеша́т
Past M,мельтеши́л
Past F,мельтеши́ла
Past N,мельтеши́ло
Past PL,мельтеши́ли
Imp S,мельтеши́
Imp PL,мельтеши́те
