Infinitive,мотну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,мотну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,мотну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,мотну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,мотну́
2nd Sing,мотнёшь
3rd Sing,мотнёт
1st Pl,мотнём
2nd Pl,мотнёте
3rd Pl,мотну́т
Past M,мотну́л
Past F,мотну́ла
Past N,мотну́ло
Past PL,мотну́ли
Imp S,мотни́
Imp PL,мотни́те
