Infinitive,навести́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,навести́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,навещённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,навести́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,навести́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,навещу́
2nd Sing,навести́шь
3rd Sing,навести́т
1st Pl,навести́м
2nd Pl,навести́те
3rd Pl,навестя́т
Past M,навести́л
Past F,навести́ла
Past N,навести́ло
Past PL,навести́ли
Imp S,навести́
Imp PL,навести́те
