Infinitive,наводни́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,наводни́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наводнённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наводни́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,наводни́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наводню́
2nd Sing,наводни́шь
3rd Sing,наводни́т
1st Pl,наводни́м
2nd Pl,наводни́те
3rd Pl,наводня́т
Past M,наводни́л
Past F,наводни́ла
Past N,наводни́ло
Past PL,наводни́ли
Imp S,наводни́
Imp PL,наводни́те
