Infinitive,наду́ться
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,наду́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наду́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,наду́юсь
2nd Sing,наду́ешься
3rd Sing,наду́ется
1st Pl,наду́емся
2nd Pl,наду́етесь
3rd Pl,наду́ются
Past M,наду́лся
Past F,наду́лась
Past N,наду́лось
Past PL,наду́лись
Imp S,наду́йся
Imp PL,наду́йтесь
