Infinitive,назва́нивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,назва́нивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,назва́нивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,назва́нивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,назва́нивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,назва́нивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,назва́ниваю
2nd Sing,назва́ниваешь
3rd Sing,назва́нивает
1st Pl,назва́ниваем
2nd Pl,назва́ниваете
3rd Pl,назва́нивают
Past M,назва́нивал
Past F,назва́нивала
Past N,назва́нивало
Past PL,назва́нивали
Imp S,назва́нивай
Imp PL,назва́нивайте
