Infinitive,найти́сь
Zaliznyak Class,irreg-b/b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,наше́дшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наше́дшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,найду́сь
2nd Sing,найдёшься
3rd Sing,найдётся
1st Pl,найдёмся
2nd Pl,найдётесь
3rd Pl,найду́тся
Past M,нашёлся
Past F,нашла́сь
Past N,нашло́сь
Past PL,нашли́сь
Imp S,найди́сь
Imp PL,найди́тесь
