Infinitive,накупи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,накупи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наку́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,накупи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,накупи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,накуплю́
2nd Sing,наку́пишь
3rd Sing,наку́пит
1st Pl,наку́пим
2nd Pl,наку́пите
3rd Pl,наку́пят
Past M,накупи́л
Past F,накупи́ла
Past N,накупи́ло
Past PL,накупи́ли
Imp S,накупи́
Imp PL,накупи́те
