Infinitive,намы́ливать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,намы́ливающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,намы́ливавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,намы́ливаемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,намы́ливая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,намы́ливав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,намы́ливавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,намы́ливаю
2nd Sing,намы́ливаешь
3rd Sing,намы́ливает
1st Pl,намы́ливаем
2nd Pl,намы́ливаете
3rd Pl,намы́ливают
Past M,намы́ливал
Past F,намы́ливала
Past N,намы́ливало
Past PL,намы́ливали
Imp S,намы́ливай
Imp PL,намы́ливайте
