Infinitive,напроси́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,напроси́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,напроси́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,напрошу́сь
2nd Sing,напро́сишься
3rd Sing,напро́сится
1st Pl,напро́симся
2nd Pl,напро́ситесь
3rd Pl,напро́сятся
Past M,напроси́лся
Past F,напроси́лась
Past N,напроси́лось
Past PL,напроси́лись
Imp S,напроси́сь
Imp PL,напроси́тесь
