Infinitive,нару́шить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,нару́шивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нару́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,нару́шив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,нару́шивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,нару́шу
2nd Sing,нару́шишь
3rd Sing,нару́шит
1st Pl,нару́шим
2nd Pl,нару́шите
3rd Pl,нару́шат
Past M,нару́шил
Past F,нару́шила
Past N,нару́шило
Past PL,нару́шили
Imp S,нару́шь
Imp PL,нару́шьте
