Infinitive,насиде́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,насиде́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наси́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,насиде́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,насиде́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,насижу́
2nd Sing,насиди́шь
3rd Sing,насиди́т
1st Pl,насиди́м
2nd Pl,насиди́те
3rd Pl,насидя́т
Past M,насиде́л
Past F,насиде́ла
Past N,насиде́ло
Past PL,насиде́ли
Imp S,насиди́
Imp PL,насиди́те
