Infinitive,недоеда́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,недоеда́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,недоеда́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,недоеда́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,недоеда́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,недоеда́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,недоеда́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,недоеда́ю
2nd Sing,недоеда́ешь
3rd Sing,недоеда́ет
1st Pl,недоеда́ем
2nd Pl,недоеда́ете
3rd Pl,недоеда́ют
Past M,недоеда́л
Past F,недоеда́ла
Past N,недоеда́ло
Past PL,недоеда́ли
Imp S,недоеда́й
Imp PL,недоеда́йте
