Infinitive,ныря́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ныря́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ныря́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ныря́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ныря́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ныря́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,ныря́ю
2nd Sing,ныря́ешь
3rd Sing,ныря́ет
1st Pl,ныря́ем
2nd Pl,ныря́ете
3rd Pl,ныря́ют
Past M,ныря́л
Past F,ныря́ла
Past N,ныря́ло
Past PL,ныря́ли
Imp S,ныря́й
Imp PL,ныря́йте
