Infinitive,обветша́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,обветша́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обветша́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,обветша́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,обветша́ю
2nd Sing,обветша́ешь
3rd Sing,обветша́ет
1st Pl,обветша́ем
2nd Pl,обветша́ете
3rd Pl,обветша́ют
Past M,обветша́л
Past F,обветша́ла
Past N,обветша́ло
Past PL,обветша́ли
Imp S,обветша́й
Imp PL,обветша́йте
