Infinitive,обе́гать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обе́гавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обе́ганный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обе́гав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обе́гавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обе́гаю
2nd Sing,обе́гаешь
3rd Sing,обе́гает
1st Pl,обе́гаем
2nd Pl,обе́гаете
3rd Pl,обе́гают
Past M,обе́гал
Past F,обе́гала
Past N,обе́гало
Past PL,обе́гали
Imp S,обе́гай
Imp PL,обе́гайте
