Infinitive,обжи́ть
Zaliznyak Class,16b/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обжи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,о́бжитый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,обжи́тый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,обжи́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,обжи́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,обживу́
2nd Sing,обживёшь
3rd Sing,обживёт
1st Pl,обживём
2nd Pl,обживёте
3rd Pl,обживу́т
Past M,о́бжил
Past F,обжила́
Past N,о́бжило
Past PL,о́бжили
Imp S,обживи́
Imp PL,обживи́те
