Infinitive,облагора́живать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,облагора́живающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,облагора́живавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,облагора́живаемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,облагора́живая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,облагора́живав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,облагора́живавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,облагора́живаю
2nd Sing,облагора́живаешь
3rd Sing,облагора́живает
1st Pl,облагора́живаем
2nd Pl,облагора́живаете
3rd Pl,облагора́живают
Past M,облагора́живал
Past F,облагора́живала
Past N,облагора́живало
Past PL,облагора́живали
Imp S,облагора́живай
Imp PL,облагора́живайте
