Infinitive,обнару́жить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обнару́живший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обнару́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обнару́жив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обнару́живши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обнару́жу
2nd Sing,обнару́жишь
3rd Sing,обнару́жит
1st Pl,обнару́жим
2nd Pl,обнару́жите
3rd Pl,обнару́жат
Past M,обнару́жил
Past F,обнару́жила
Past N,обнару́жило
Past PL,обнару́жили
Imp S,обнару́жь
Imp PL,обнару́жьте
