Infinitive,обозна́читься
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обозна́чившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обозна́чившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,обозна́чусь
2nd Sing,обозна́чишься
3rd Sing,обозна́чится
1st Pl,обозна́чимся
2nd Pl,обозна́читесь
3rd Pl,обозна́чатся
Past M,обозна́чился
Past F,обозна́чилась
Past N,обозна́чилось
Past PL,обозна́чились
Imp S,обозна́чься
Imp PL,обозна́чьтесь
