Infinitive,обозре́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обозре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обозре́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,обозре́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,обозрю́
2nd Sing,обозри́шь
3rd Sing,обозри́т
1st Pl,обозри́м
2nd Pl,обозри́те
3rd Pl,обозря́т
Past M,обозре́л
Past F,обозре́ла
Past N,обозре́ло
Past PL,обозре́ли
Imp S,обозри́
Imp PL,обозри́те
