Infinitive,обсы́пать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обсы́павший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обсы́панный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обсы́пав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обсы́павши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обсы́плю
2nd Sing,обсы́плешь
3rd Sing,обсы́плет
1st Pl,обсы́плем
2nd Pl,обсы́плете
3rd Pl,обсы́плют
Past M,обсы́пал
Past F,обсы́пала
Past N,обсы́пало
Past PL,обсы́пали
Imp S,обсы́пь
Imp PL,обсы́пьте
