Infinitive,обы́грывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обы́грывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,обы́грывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обы́грываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,обы́грывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,обы́грывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,обы́грывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,обы́грываю
2nd Sing,обы́грываешь
3rd Sing,обы́грывает
1st Pl,обы́грываем
2nd Pl,обы́грываете
3rd Pl,обы́грывают
Past M,обы́грывал
Past F,обы́грывала
Past N,обы́грывало
Past PL,обы́грывали
Imp S,обы́грывай
Imp PL,обы́грывайте
