Infinitive,окрыли́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,окрыли́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,окрылённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,окрыли́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,окрыли́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,окрылю́
2nd Sing,окрыли́шь
3rd Sing,окрыли́т
1st Pl,окрыли́м
2nd Pl,окрыли́те
3rd Pl,окрыля́т
Past M,окрыли́л
Past F,окрыли́ла
Past N,окрыли́ло
Past PL,окрыли́ли
Imp S,окрыли́
Imp PL,окрыли́те
