Infinitive,опла́чиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,опла́чивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,опла́чивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,опла́чиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,опла́чивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,опла́чиваюсь
2nd Sing,опла́чиваешься
3rd Sing,опла́чивается
1st Pl,опла́чиваемся
2nd Pl,опла́чиваетесь
3rd Pl,опла́чиваются
Past M,опла́чивался
Past F,опла́чивалась
Past N,опла́чивалось
Past PL,опла́чивались
Imp S,опла́чивайся
Imp PL,опла́чивайтесь
