Infinitive,оповести́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оповести́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оповещённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оповести́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,оповести́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оповещу́
2nd Sing,оповести́шь
3rd Sing,оповести́т
1st Pl,оповести́м
2nd Pl,оповести́те
3rd Pl,оповестя́т
Past M,оповести́л
Past F,оповести́ла
Past N,оповести́ло
Past PL,оповести́ли
Imp S,оповести́
Imp PL,оповести́те
