Infinitive,оступи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,оступи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оступи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,оступлю́сь
2nd Sing,осту́пишься
3rd Sing,осту́пится
1st Pl,осту́пимся
2nd Pl,осту́питесь
3rd Pl,осту́пятся
Past M,оступи́лся
Past F,оступи́лась
Past N,оступи́лось
Past PL,оступи́лись
Imp S,оступи́сь
Imp PL,оступи́тесь
