Infinitive,отдали́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отдали́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отдалённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отдали́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отдали́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отдалю́
2nd Sing,отдали́шь
3rd Sing,отдали́т
1st Pl,отдали́м
2nd Pl,отдали́те
3rd Pl,отдаля́т
Past M,отдали́л
Past F,отдали́ла
Past N,отдали́ло
Past PL,отдали́ли
Imp S,отдали́
Imp PL,отдали́те
