Infinitive,отка́шляться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отка́шлявшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отка́шлявшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отка́шляюсь
2nd Sing,отка́шляешься
3rd Sing,отка́шляется
1st Pl,отка́шляемся
2nd Pl,отка́шляетесь
3rd Pl,отка́шляются
Past M,отка́шлялся
Past F,отка́шлялась
Past N,отка́шлялось
Past PL,отка́шлялись
Imp S,отка́шляйся
Imp PL,отка́шляйтесь
