Infinitive,отки́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отки́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отки́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отки́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отки́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отки́ну
2nd Sing,отки́нешь
3rd Sing,отки́нет
1st Pl,отки́нем
2nd Pl,отки́нете
3rd Pl,отки́нут
Past M,отки́нул
Past F,отки́нула
Past N,отки́нуло
Past PL,отки́нули
Imp S,отки́нь
Imp PL,отки́ньте
