Infinitive,отмеча́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отмеча́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отмеча́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отмеча́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отмеча́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отмеча́юсь
2nd Sing,отмеча́ешься
3rd Sing,отмеча́ется
1st Pl,отмеча́емся
2nd Pl,отмеча́етесь
3rd Pl,отмеча́ются
Past M,отмеча́лся
Past F,отмеча́лась
Past N,отмеча́лось
Past PL,отмеча́лись
Imp S,отмеча́йся
Imp PL,отмеча́йтесь
