Infinitive,отомсти́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отомсти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отомщённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отомсти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отомсти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отомщу́
2nd Sing,отомсти́шь
3rd Sing,отомсти́т
1st Pl,отомсти́м
2nd Pl,отомсти́те
3rd Pl,отомстя́т
Past M,отомсти́л
Past F,отомсти́ла
Past N,отомсти́ло
Past PL,отомсти́ли
Imp S,отомсти́
Imp PL,отомсти́те
