Infinitive,отосла́ть
Zaliznyak Class,6b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отосла́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ото́сланный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отосла́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отосла́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отошлю́
2nd Sing,отошлёшь
3rd Sing,отошлёт
1st Pl,отошлём
2nd Pl,отошлёте
3rd Pl,отошлю́т
Past M,отосла́л
Past F,отосла́ла
Past N,отосла́ло
Past PL,отосла́ли
Imp S,отошли́
Imp PL,отошли́те
