Infinitive,отплы́ть
Zaliznyak Class,16b/c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отплы́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отплы́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,отплы́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,отплыву́
2nd Sing,отплывёшь
3rd Sing,отплывёт
1st Pl,отплывём
2nd Pl,отплывёте
3rd Pl,отплыву́т
Past M,отплы́л
Past F,отплыла́
Past N,отплы́ло
Past PL,отплы́ли
Imp S,отплыви́
Imp PL,отплыви́те
