Infinitive,отполза́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отполза́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отполза́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отполза́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отполза́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,отполза́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,отполза́ю
2nd Sing,отполза́ешь
3rd Sing,отполза́ет
1st Pl,отполза́ем
2nd Pl,отполза́ете
3rd Pl,отполза́ют
Past M,отполза́л
Past F,отполза́ла
Past N,отполза́ло
Past PL,отполза́ли
Imp S,отполза́й
Imp PL,отполза́йте
