Infinitive,отска́кивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отска́кивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отска́кивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отска́кивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отска́кивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,отска́кивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,отска́киваю
2nd Sing,отска́киваешь
3rd Sing,отска́кивает
1st Pl,отска́киваем
2nd Pl,отска́киваете
3rd Pl,отска́кивают
Past M,отска́кивал
Past F,отска́кивала
Past N,отска́кивало
Past PL,отска́кивали
Imp S,отска́кивай
Imp PL,отска́кивайте
