Infinitive,отстоя́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отстоя́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отсто́янный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отстоя́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отстоя́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отстою́
2nd Sing,отстои́шь
3rd Sing,отстои́т
1st Pl,отстои́м
2nd Pl,отстои́те
3rd Pl,отстоя́т
Past M,отстоя́л
Past F,отстоя́ла
Past N,отстоя́ло
Past PL,отстоя́ли
Imp S,—
Imp PL,—
