Infinitive,отстрани́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отстрани́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отстрани́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отстраню́сь
2nd Sing,отстрани́шься
3rd Sing,отстрани́тся
1st Pl,отстрани́мся
2nd Pl,отстрани́тесь
3rd Pl,отстраня́тся
Past M,отстрани́лся
Past F,отстрани́лась
Past N,отстрани́лось
Past PL,отстрани́лись
Imp S,отстрани́сь
Imp PL,отстрани́тесь
