Infinitive,отхвати́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отхвати́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отхва́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отхвати́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отхвати́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отхвачу́
2nd Sing,отхва́тишь
3rd Sing,отхва́тит
1st Pl,отхва́тим
2nd Pl,отхва́тите
3rd Pl,отхва́тят
Past M,отхвати́л
Past F,отхвати́ла
Past N,отхвати́ло
Past PL,отхвати́ли
Imp S,отхвати́
Imp PL,отхвати́те
