Infinitive,отча́яться
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отча́явшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отча́явшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отча́юсь
2nd Sing,отча́ешься
3rd Sing,отча́ется
1st Pl,отча́емся
2nd Pl,отча́етесь
3rd Pl,отча́ются
Past M,отча́ялся
Past F,отча́ялась
Past N,отча́ялось
Past PL,отча́ялись
Imp S,отча́йся
Imp PL,отча́йтесь
