Infinitive,охвати́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,охвати́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,охва́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,охвати́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,охвати́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,охвачу́
2nd Sing,охва́тишь
3rd Sing,охва́тит
1st Pl,охва́тим
2nd Pl,охва́тите
3rd Pl,охва́тят
Past M,охвати́л
Past F,охвати́ла
Past N,охвати́ло
Past PL,охвати́ли
Imp S,охвати́
Imp PL,охвати́те
