Infinitive,охлади́ть
Zaliznyak Class,4b(-жд-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,охлади́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,охлаждённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,охлади́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,охлади́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,охлажу́
2nd Sing,охлади́шь
3rd Sing,охлади́т
1st Pl,охлади́м
2nd Pl,охлади́те
3rd Pl,охладя́т
Past M,охлади́л
Past F,охлади́ла
Past N,охлади́ло
Past PL,охлади́ли
Imp S,охлади́
Imp PL,охлади́те
