Infinitive,па́риться
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,па́рящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,па́рившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,па́рясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,па́рившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,па́рюсь
2nd Sing,па́ришься
3rd Sing,па́рится
1st Pl,па́римся
2nd Pl,па́ритесь
3rd Pl,па́рятся
Past M,па́рился
Past F,па́рилась
Past N,па́рилось
Past PL,па́рились
Imp S,па́рься
Imp PL,па́рьтесь
