Infinitive,паха́ть
Zaliznyak Class,6c
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,па́шущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,паха́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,па́ханный
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,паша́
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,паха́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,паха́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,пашу́
2nd Sing,па́шешь
3rd Sing,па́шет
1st Pl,па́шем
2nd Pl,па́шете
3rd Pl,па́шут
Past M,паха́л
Past F,паха́ла
Past N,паха́ло
Past PL,паха́ли
Imp S,паши́
Imp PL,паши́те
