Infinitive,переби́ть
Zaliznyak Class,11b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переби́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,переби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перебью́
2nd Sing,перебьёшь
3rd Sing,перебьёт
1st Pl,перебьём
2nd Pl,перебьёте
3rd Pl,перебью́т
Past M,переби́л
Past F,переби́ла
Past N,переби́ло
Past PL,переби́ли
Imp S,перебе́й
Imp PL,перебе́йте
