Infinitive,перебро́сить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перебро́сивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перебро́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перебро́сив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перебро́сивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перебро́шу
2nd Sing,перебро́сишь
3rd Sing,перебро́сит
1st Pl,перебро́сим
2nd Pl,перебро́сите
3rd Pl,перебро́сят
Past M,перебро́сил
Past F,перебро́сила
Past N,перебро́сило
Past PL,перебро́сили
Imp S,перебро́сь
Imp PL,перебро́сьте
