Infinitive,перевари́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перевари́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перева́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перевари́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перевари́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,переварю́
2nd Sing,перева́ришь
3rd Sing,перева́рит
1st Pl,перева́рим
2nd Pl,перева́рите
3rd Pl,перева́рят
Past M,перевари́л
Past F,перевари́ла
Past N,перевари́ло
Past PL,перевари́ли
Imp S,перевари́
Imp PL,перевари́те
