Infinitive,перезвони́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,перезвони́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перезвони́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,перезвони́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,перезвоню́
2nd Sing,перезвони́шь
3rd Sing,перезвони́т
1st Pl,перезвони́м
2nd Pl,перезвони́те
3rd Pl,перезвоня́т
Past M,перезвони́л
Past F,перезвони́ла
Past N,перезвони́ло
Past PL,перезвони́ли
Imp S,перезвони́
Imp PL,перезвони́те
