Infinitive,переименова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переименова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переимено́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переименова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,переименова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,переимену́ю
2nd Sing,переимену́ешь
3rd Sing,переимену́ет
1st Pl,переимену́ем
2nd Pl,переимену́ете
3rd Pl,переимену́ют
Past M,переименова́л
Past F,переименова́ла
Past N,переименова́ло
Past PL,переименова́ли
Imp S,переимену́й
Imp PL,переимену́йте
