Infinitive,перекочева́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,перекочева́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перекочева́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,перекочева́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,перекочу́ю
2nd Sing,перекочу́ешь
3rd Sing,перекочу́ет
1st Pl,перекочу́ем
2nd Pl,перекочу́ете
3rd Pl,перекочу́ют
Past M,перекочева́л
Past F,перекочева́ла
Past N,перекочева́ло
Past PL,перекочева́ли
Imp S,перекочу́й
Imp PL,перекочу́йте
