Infinitive,переме́шивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переме́шивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,переме́шивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переме́шиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,переме́шивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,переме́шивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,переме́шивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,переме́шиваю
2nd Sing,переме́шиваешь
3rd Sing,переме́шивает
1st Pl,переме́шиваем
2nd Pl,переме́шиваете
3rd Pl,переме́шивают
Past M,переме́шивал
Past F,переме́шивала
Past N,переме́шивало
Past PL,переме́шивали
Imp S,переме́шивай
Imp PL,переме́шивайте
