Infinitive,переня́ть
Zaliznyak Class,14b/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переня́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пе́ренятый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переня́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,переня́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перейму́
2nd Sing,переймёшь
3rd Sing,переймёт
1st Pl,переймём
2nd Pl,переймёте
3rd Pl,перейму́т
Past M,пе́ренял
Past F,переняла́
Past N,пе́реняло
Past PL,пе́реняли
Imp S,перейми́
Imp PL,перейми́те
