Infinitive,переплю́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переплю́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переплю́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переплю́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,переплю́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,переплю́ну
2nd Sing,переплю́нешь
3rd Sing,переплю́нет
1st Pl,переплю́нем
2nd Pl,переплю́нете
3rd Pl,переплю́нут
Past M,переплю́нул
Past F,переплю́нула
Past N,переплю́нуло
Past PL,переплю́нули
Imp S,переплю́ни
Imp PL,переплю́ните
