Infinitive,перестро́ить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перестро́ивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перестро́енный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перестро́ив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перестро́ивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перестро́ю
2nd Sing,перестро́ишь
3rd Sing,перестро́ит
1st Pl,перестро́им
2nd Pl,перестро́ите
3rd Pl,перестро́ят
Past M,перестро́ил
Past F,перестро́ила
Past N,перестро́ило
Past PL,перестро́или
Imp S,перестро́й
Imp PL,перестро́йте
