Infinitive,пересы́пать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пересы́павший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пересы́панный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пересы́пав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пересы́павши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пересы́плю
2nd Sing,пересы́плешь
3rd Sing,пересы́плет
1st Pl,пересы́плем
2nd Pl,пересы́плете
3rd Pl,пересы́плют
Past M,пересы́пал
Past F,пересы́пала
Past N,пересы́пало
Past PL,пересы́пали
Imp S,пересы́пь
Imp PL,пересы́пьте
