Infinitive,перехвати́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перехвати́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перехва́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перехвати́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перехвати́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перехвачу́
2nd Sing,перехва́тишь
3rd Sing,перехва́тит
1st Pl,перехва́тим
2nd Pl,перехва́тите
3rd Pl,перехва́тят
Past M,перехвати́л
Past F,перехвати́ла
Past N,перехвати́ло
Past PL,перехвати́ли
Imp S,перехвати́
Imp PL,перехвати́те
