Infinitive,пита́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пита́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пита́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пита́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пита́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пита́юсь
2nd Sing,пита́ешься
3rd Sing,пита́ется
1st Pl,пита́емся
2nd Pl,пита́етесь
3rd Pl,пита́ются
Past M,пита́лся
Past F,пита́лась
Past N,пита́лось
Past PL,пита́лись
Imp S,пита́йся
Imp PL,пита́йтесь
