Infinitive,плани́роваться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,плани́рующийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,плани́ровавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,плани́руясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,плани́ровавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,плани́руюсь
2nd Sing,плани́руешься
3rd Sing,плани́руется
1st Pl,плани́руемся
2nd Pl,плани́руетесь
3rd Pl,плани́руются
Past M,плани́ровался
Past F,плани́ровалась
Past N,плани́ровалось
Past PL,плани́ровались
Imp S,плани́руйся
Imp PL,плани́руйтесь
