Infinitive,побагрове́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,побагрове́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,побагрове́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,побагрове́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,побагрове́ю
2nd Sing,побагрове́ешь
3rd Sing,побагрове́ет
1st Pl,побагрове́ем
2nd Pl,побагрове́ете
3rd Pl,побагрове́ют
Past M,побагрове́л
Past F,побагрове́ла
Past N,побагрове́ло
Past PL,побагрове́ли
Imp S,побагрове́й
Imp PL,побагрове́йте
