Infinitive,повисе́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,повисе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,повисе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,повисе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,повишу́
2nd Sing,повиси́шь
3rd Sing,повиси́т
1st Pl,повиси́м
2nd Pl,повиси́те
3rd Pl,повися́т
Past M,повисе́л
Past F,повисе́ла
Past N,повисе́ло
Past PL,повисе́ли
Imp S,повиси́
Imp PL,повиси́те
