Infinitive,погре́ться
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,погре́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,погре́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,погре́юсь
2nd Sing,погре́ешься
3rd Sing,погре́ется
1st Pl,погре́емся
2nd Pl,погре́етесь
3rd Pl,погре́ются
Past M,погре́лся
Past F,погре́лась
Past N,погре́лось
Past PL,погре́лись
Imp S,погре́йся
Imp PL,погре́йтесь
