Infinitive,погружа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,погружа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,погружа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,погружа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,погружа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,погружа́юсь
2nd Sing,погружа́ешься
3rd Sing,погружа́ется
1st Pl,погружа́емся
2nd Pl,погружа́етесь
3rd Pl,погружа́ются
Past M,погружа́лся
Past F,погружа́лась
Past N,погружа́лось
Past PL,погружа́лись
Imp S,погружа́йся
Imp PL,погружа́йтесь
